run_id,baseline_run_id,crop,confidence_governed,confidence_ungoverned,agents_completed_governed,agents_completed_ungoverned,review_required_governed,review_required_ungoverned
governance_off_cotton_yield_r1,cotton_yield_r1,cotton,0.82,0.78,4,3,True,True
governance_off_rice_suitability_r1,rice_suitability_r1,rice,0.78,0.78,3,3,True,True
governance_off_wheat_irrigation_r1,wheat_irrigation_r1,wheat,0.8,0.79,3,3,True,True
