query_type,n,mean_wall_time_s,std_wall_time_s,mean_confidence,std_confidence,pipeline_error_rate
irrigation,5,593.597,154.969,0.8,0.041,0.0
market,5,421.804,214.27,0.874,0.082,0.0
suitability,5,728.138,284.757,0.788,0.076,0.0
yield,15,612.524,136.476,0.765,0.063,0.0
